Month,Day,Text
Jan,1,"['1', 'Mi', 'Neujahr']"
Jan,2,"['2', 'Do', 'C', '3/4', '3/4', '2', '1']"
Jan,3,"['3', 'Fr', 'D', '3/4', '3/4', '2', '1']"
Jan,4,"['4', 'Sa', 'E', '3/4', '3/4', '2', '1']"
Jan,5,"['5', 'So']"
Jan,6,"['6', 'Mo', 'HI', 'Drei', 'Könige']"
Jan,7,"['7', 'Di', 'A', '1/2', '1/2', '3', '4']"
Jan,8,"['8', 'Mi', 'B', '1/2', '1/2', '3', '4']"
Jan,9,"['9', 'Do', 'C', '1/2', '1/2', '3', '4']"
Jan,10,"['10', 'Fr', 'D', '1/2', '1/2', '3', '4']"
Jan,11,"['11', 'Sa', 'E', '1/2', '1/2', '3', '4']"
Jan,12,"['12', 'So']"
Jan,13,"['13', 'Mo', 'A', '3/4', '3/4', '1', '2']"
Jan,14,"['14', 'Di', 'B', '3/4', '3/4', '1', '2']"
Jan,15,"['15', 'Mi', 'C', '3/4', '3/4', '1', '2']"
Jan,16,"['16', 'Do', 'D', '3/4', '3/4', '1', '2']"
Jan,17,"['17', 'Fr', 'E', '3/4', '3/4', '1', '2']"
Jan,18,"['18', 'Sa']"
Jan,19,"['19', 'So']"
Jan,20,"['20', 'Mo', 'A', '1/2', '1/2', '4', '3']"
Jan,21,"['21', 'Di', 'B', '1/2', '1/2', '4', '3']"
Jan,22,"['22', 'Mi', 'C', '1/2', '1/2', '4', '3']"
Jan,23,"['23', 'Do', 'D', '1/2', '1/2', '4', '3']"
Jan,24,"['24', 'Fr', 'E', '1/2', '1/2', '4', '3']"
Jan,25,"['25', 'Sa']"
Jan,26,"['26', 'So']"
Jan,27,"['27', 'Mo', 'A', '3/4', '3/4', '2', '1']"
Jan,28,"['28', 'Di', 'B', '3/4', '3/4', '2', '1']"
Jan,29,"['29', 'Mi', 'C', '3/4', '3/4', '2', '1']"
Jan,30,"['30', 'Do', 'D', '3/4', '3/4', '2', '1']"
Jan,31,"['31', 'Fr', 'E', '3/4', '3/4', '2', '1']"
Feb,1,"['1', 'Sa']"
Feb,2,"['2', 'So']"
Feb,3,"['3', 'Mo', 'A', '1/2', '1/2', '3', '4']"
Feb,4,"['4', 'Di', 'B', '1/2', '1/2', '3', '4']"
Feb,5,"['5', 'Mi', 'C', '1/2', '1/2', '3', '4']"
Feb,6,"['6', 'Do', 'D', '1/2', '1/2', '3', '4']"
Feb,7,"['7', 'Fr', 'E', '1/2', '1/2', '3', '4']"
Feb,8,"['8', 'Sa']"
Feb,9,"['9', 'So']"
Feb,10,"['10', 'Mo', 'A', '3/4', '3/4', '1', '2']"
Feb,11,"['11', 'Di', 'B', '3/4', '3/4', '1', '2']"
Feb,12,"['12', 'Mi', 'C', '3/4', '3/4', '1', '2']"
Feb,13,"['13', 'Do', 'D', '3/4', '3/4', '1', '2']"
Feb,14,"['14', 'Fr', 'E', '3/4', '3/4', '1', '2']"
Feb,15,"['15', 'Sa']"
Feb,16,"['16', 'So']"
Feb,17,"['17', 'Mo', 'A', '1/2', '1/2', '4', '3']"
Feb,18,"['18', 'Di', 'B', '1/2', '1/2', '4', '3']"
Feb,19,"['19', 'Mi', 'C', '1/2', '1/2', '4', '3']"
Feb,20,"['20', 'Do', 'D', '1/2', '1/2', '4', '3']"
Feb,21,"['21', 'Fr', 'E', '1/2', '1/2', '4', '3']"
Feb,22,"['22', 'Sa', 'Problemmüllsammlung']"
Feb,23,"['23', 'So']"
Feb,24,"['24', 'Mo', 'A', '3/4', '3/4', '2', '1']"
Feb,25,"['25', 'Di', 'B', '3/4', '3/4', '2', '1']"
Feb,26,"['26', 'Mi', 'C', '3/4', '3/4', '2', '1']"
Feb,27,"['27', 'Do', 'D', '3/4', '3/4', '2', '1']"
Feb,28,"['28', 'Fr', 'E', '3/4', '3/4', '2', '1']"
Feb,29,[]
Feb,30,[]
Feb,31,[]
Mar,1,"['1', 'Sa']"
Mar,2,"['2', 'So']"
Mar,3,"['3', 'Mo', 'A', '1/2', '1/2', '3', '4']"
Mar,4,"['4', 'Di', 'B', '1/2', '1/2', '3', '4']"
Mar,5,"['5', 'Mi', 'C', '1/2', '1/2', '3', '4']"
Mar,6,"['6', 'Do', 'D', '1/2', '1/2', '3', '4']"
Mar,7,"['7', 'Fr', 'E', '1/2', '1/2', '3', '4']"
Mar,8,"['8', 'Sa']"
Mar,9,"['9', 'So']"
Mar,10,"['10', 'Mo', 'A', '3/4', '3/4', '1', '2']"
Mar,11,"['11', 'Di', 'B', '3/4', '3/4', '1', '2']"
Mar,12,"['12', 'Mi', 'c', '3/4', '3/4', '1', '2']"
Mar,13,"['13', 'Do', 'D', '3/4', '3/4', '1', '2']"
Mar,14,"['14', 'Fr', 'E', '3/4', '3/4', '1', '2']"
Mar,15,"['15', 'Sa']"
Mar,16,"['16', 'So']"
Mar,17,"['17', 'Mo', 'A', '1/2', '1/2', '4', '3']"
Mar,18,"['18', 'Di', 'B', '1/2', '1/2', '4', '3']"
Mar,19,"['19', 'Mi', 'C', '1/2', '1/2', '4', '3']"
Mar,20,"['20', 'Do', 'D', '1/2', '1/2', '4', '3']"
Mar,21,"['21', 'Fr', 'E', '1/2', '1/2', '4', '3']"
Mar,22,"['22', 'Sa']"
Mar,23,"['23', 'So']"
Mar,24,"['24', 'Mo', 'A', '3/4', '3/4', '2', '1']"
Mar,25,"['25', 'Di', 'B', '3/4', '3/4', '2', '1']"
Mar,26,"['26', 'Mi', 'C', '3/4', '3/4', '2', '1']"
Mar,27,"['27', 'Do', 'D', '3/4', '3/4', '2', '1']"
Mar,28,"['28', 'Fr', 'E', '3/4', '3/4', '2', '1']"
Mar,29,"['29', 'Sa']"
Mar,30,"['30', 'So']"
Mar,31,"['31', 'Mo', 'A', '1/2', '1/2', '3', '4']"
Apr,1,"['1', 'Di', 'B', '1/2', '1/2', '3', '4']"
Apr,2,"['2', 'Mi', 'C', '1/2', '1/2', '3', '4']"
Apr,3,"['3', 'Do', 'D', '1/2', '1/2', '3', '4']"
Apr,4,"['4', 'Fr', 'E', '1/2', '1/2', '3', '4']"
Apr,5,"['5', 'Sa']"
Apr,6,"['6', 'So']"
Apr,7,"['7', 'Mo', 'A', '3/4', '3/4', '1', '2']"
Apr,8,"['8', 'Di', 'B', '3/4', '3/4', '1', '2']"
Apr,9,"['9', 'Mi', 'c', '3/4', '3/4', '1', '2']"
Apr,10,"['10', 'Do', 'D', '3/4', '3/4', '1', '2']"
Apr,11,"['11', 'Fr', 'E', '3/4', '3/4', '1', '2']"
Apr,12,"['12', 'Sa', 'A', '1/2', '1/2', '4', '3']"
Apr,13,"['13', 'So']"
Apr,14,"['14', 'Mo', 'B', '1/2', '1/2', '4', '3']"
Apr,15,"['15', 'Di', 'C', '1/2', '1/2', '4', '3']"
Apr,16,"['16', 'Mi', 'D', '1/2', '1/2', '4', '3']"
Apr,17,"['17', 'Do', 'E', '1/2', '1/2', '4', '3']"
Apr,18,"['18', 'Fr', 'Karfreitag']"
Apr,19,"['19', 'Sa']"
Apr,20,"['20', 'So', 'Ostersonntag']"
Apr,21,"['21', 'Mo', 'Ostermontag']"
Apr,22,"['22', 'Di', 'A', '3/4', '3/4', '2', '1']"
Apr,23,"['23', 'Mi', 'B', '3/4', '3/4', '2', '1']"
Apr,24,"['24', 'Do', 'C', '3/4', '3/4', '2', '1']"
Apr,25,"['25', 'Fr', 'D', '3/4', '3/4', '2', '1']"
Apr,26,"['26', 'Sa', 'E', '3/4', '3/4', '2', '1']"
Apr,27,"['27', 'So']"
Apr,28,"['28', 'Mo', 'A', '1/2', '1/2', '3', '4']"
Apr,29,"['29', 'Di', 'B', '1/2', '1/2', '3', '4']"
Apr,30,"['30', 'Mi', 'C', '1/2', '1/2', '3', '4']"
Apr,31,[]
May,1,"['1', 'Do', 'Maifeiertag']"
May,2,"['2', 'Fr', 'D', '1/2', '1/2', '3', '4']"
May,3,"['3', 'Sa', 'E', '1/2', '1/2', '3', '4']"
May,4,"['4', 'So']"
May,5,"['5', 'Mo', 'A', '3/4', '3/4', '1', '2']"
May,6,"['6', 'Di', 'B', '3/4', '3/4', '1', '2']"
May,7,"['7', 'Mi', 'c', '3/4', '3/4', '1', '2']"
May,8,"['8', 'Do', 'D', '3/4', '3/4', '1', '2']"
May,9,"['9', 'Fr', 'E', '3/4', '3/4', '1', '2']"
May,10,"['10', 'Sa']"
May,11,"['11', 'So']"
May,12,"['12', 'Mo', 'A', '1/2', '1/2', '4', '3']"
May,13,"['13', 'Di', 'B', '1/2', '1/2', '4', '3']"
May,14,"['14', 'Mi', 'C', '1/2', '1/2', '4', '3']"
May,15,"['15', 'Do', 'D', '1/2', '1/2', '4', '3']"
May,16,"['16', 'Fr', 'E', '1/2', '1/2', '4', '3']"
May,17,"['17', 'Sa']"
May,18,"['18', 'So']"
May,19,"['19', 'Mo', 'A', '3/4', '3/4', '2', '1']"
May,20,"['20', 'Di', 'B', '3/4', '3/4', '2', '1']"
May,21,"['21', 'Mi', 'C', '3/4', '3/4', '2', '1']"
May,22,"['22', 'Do', 'D', '3/4', '3/4', '2', '1']"
May,23,"['23', 'Fr', 'E', '3/4', '3/4', '2', '1']"
May,24,"['24', 'Sa']"
May,25,"['25', 'So']"
May,26,"['26', 'Mo', 'A', '1/2', '1/2', '3', '4']"
May,27,"['27', 'Di', 'B', '1/2', '1/2', '3', '4']"
May,28,"['28', 'Mi', 'C', '1/2', '1/2', '3', '4']"
May,29,"['29', 'Do', 'Christi', 'Himmelfahrt']"
May,30,"['30', 'Fr', 'D', '1/2', '1/2', '3', '4']"
May,31,"['31', 'Sa', 'E', '1/2', '1/2', '3', '4']"
Jun,1,"['1', 'So']"
Jun,2,"['2', 'Mo', 'A', '3/4', '3/4', '1', '2']"
Jun,3,"['3', 'Di', 'B', '3/4', '3/4', '1', '2']"
Jun,4,"['4', 'Mi', 'c', '3/4', '3/4', '1', '2']"
Jun,5,"['5', 'Do', 'D', '3/4', '3/4', '1', '2']"
Jun,6,"['6', 'Fr', 'E', '3/4', '3/4', '1', '2']"
Jun,7,"['7', 'Sa']"
Jun,8,"['8', 'So', 'Pfingstsonntag']"
Jun,9,"['9', 'Mo', 'Pfingstmontag']"
Jun,10,"['10', 'Di', 'A', '1/2', '1/2', '4', '3']"
Jun,11,"['11', 'Mi', 'B', '1/2', '1/2', '4', '3']"
Jun,12,"['12', 'Do', 'C', '1/2', '1/2', '4', '3']"
Jun,13,"['13', 'Fr', 'D', '1/2', '1/2', '4', '3']"
Jun,14,"['14', 'Sa', 'E', '1/2', '1/2', '4', '3']"
Jun,15,"['15', 'So']"
Jun,16,"['16', 'Mo', 'A', '3/4', '3/4', '2', '1']"
Jun,17,"['17', 'Di', 'B', '3/4', '3/4', '2', '1']"
Jun,18,"['18', 'Mi', 'c', '3/4', '3/4', '2', '1']"
Jun,19,"['19', 'Do', 'Fronleichnam']"
Jun,20,"['20', 'Fr', 'D', '3/4', '3/4', '2', '1']"
Jun,21,"['21', 'Sa', 'E', '3/4', '3/4', '2', '1']"
Jun,22,"['22', 'So']"
Jun,23,"['23', 'Mo', 'A', '1/2', '1/2', '3', '4']"
Jun,24,"['24', 'Di', 'B', '1/2', '1/2', '3', '4']"
Jun,25,"['25', 'Mi', 'C', '1/2', '1/2', '3', '4']"
Jun,26,"['26', 'Do', 'D', '1/2', '1/2', '3', '4']"
Jun,27,"['27', 'Fr', 'E', '1/2', '1/2', '3', '4']"
Jun,28,"['28', 'Sa', 'Problemmüllsammlung']"
Jun,29,"['29', 'So']"
Jun,30,"['30', 'Mo', 'A', '3/4', '3/4', '1', '2']"
Jun,31,[]
